Lat,Long,FID,Atr_Number,Descriptio,Co_Number,County,Road,District,Unit,Configurat,Lanes,Speed,Classifica,WIM
40.4716,-91.5675,105,264,Argyle,56,LEE,IA 27,5,ADR+,WLW,4,Y,13 CLASS,1
42.1782,-90.6723,106,265,Maquoketa,49,JACKSON,US 61,6,ADR,WLW,4,Y,13 CLASS,1
40.7346,-92.5196,107,266,West Grove,26,DAVIS,IA 2,5,ADR+,WLW,2,Y,13 CLASS,1
41.0189,-95.4678,108,267,Emerson,65,MILLS,US 34,4,ADR+,WLW,2,Y,13 CLASS,1
41.8987,-95.5649,109,268,Dow City,24,CRAWFORD,US 30,3,ADR+,LPL,2,Y,13 CLASS,0
42.0336,-94.195,110,269,Grand Junction,37,GREENE,US 30,1,ADR,WLW,2,Y,13 CLASS,1
42.6944,-95.1514,111,270,Storm Lake US 71,11,BUENA VISTA,US 71,3,ADR,WLW,2,Y,13 CLASS,1
43.1119,-94.5928,112,271,Emmettsburg,74,PALO ALTO,US 18,3,ADR,LPL,2,Y,13 CLASS,0
41.3269,-94.9844,113,272,Atlantic US 71,15,CASS,US 71,4,ADR+,WLW,2,Y,13 CLASS,1
41.0006,-93.125,114,273,Russell,59,LUCAS,US 34,5,ADR+,WLW,2,Y,13 CLASS,1
41.4344,-92.995,115,274,Pella,63,MARION,IA 163,5,ADR,WLW,4,Y,13 CLASS,1
42.4394,-90.9414,116,275,Epworth,31,DUBUQUE,US 20,6,ADR+,WLW,4,Y,13 CLASS,1
43.3925,-92.2981,117,276,Lime Springs,45,HOWARD,US 63,2,ADR+,WLW,2,Y,13 CLASS,1
40.995,-92.2114,118,277,Agency,90,WAPELLO,US 34,5,ADR+,WLW,4,Y,13 CLASS,1
41.6994,-93.7747,119,278,Grimes,77,POLK,IA 141,1,WAVE,RADAR,4,Y,3 CLASS,0
42.5925,-91.4695,120,279,Dundee,28,DELAWARE,IA 13,6,ADR+,WLW,2,Y,13 CLASS,1
40.7328,-93.8946,121,280,Leon IA 2,27,DECATUR,IA 2,5,ADR,LPL,2,Y,13 CLASS,0
42.1832,-91.2222,122,281,Monticello,53,JONES,US 151,6,ADR,LPL,4,Y,13 CLASS,0
42.153,-90.3334,123,282,Bellevue,49,JACKSON,US 52,6,WAVE,RADAR,2,Y,3 CLASS,0
40.4697,-91.4447,124,283,Keokuk,56,LEE,US 61/218,5,WAVE,RADAR,4,Y,3 CLASS,0
43.361,-91.2421,125,284,Lansing,3,ALLAMAKEE,IA 9,2,WAVE,RADAR,2,Y,3 CLASS,0
42.4498,-94.6497,126,285,Rockwell City US 20,13,CALHOUN,US 20,3,ADR,LPL,4,Y,13 CLASS,0
41.0437,-95.848,127,286,Glenwood 2 Mile W of I-29,0, ,US 34,0,ADR+,WLW,0, ,13 CLASS,1
42.4755,-96.3053,128,287,Lawton 0.6 MI E of US 75,0, ,US 20,0,ADR+,WLW,0, ,13 CLASS,1
